代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
D032400,213,水果,新疆哈蜜瓜,25,92.6,0.7,0,6.2,0.3,0.5,0.5,,566.7,,0,0.01,0.4,0.01,,31,35,180,14,12,0.3,0.3,15
D033400,214,水果,加州李,56,84.6,0.7,0.4,13.9,0.3,1.5,0.4,,50,,0,0.07,0.4,0.01,,17,7,120,8,18,0.2,0,4
D034400,215,水果,李子,57,84,0.5,0.1,15,0.4,1.6,0.4,,33.3,,0.01,0.01,0.7,0.01,,3,7,120,7,18,0.2,0.1,5
D034601,216,水果,草梅李,238,31.7,1.8,0.4,63.4,1.1,2.8,2.6,,1.7,,0,0.03,1.56,0.01,,0,709,60,16,13,2,0.3,124
D035400,217,水果,水蜜桃,43,87.9,0.8,0.2,10.7,0.4,1.5,0.4,,73.3,,0,0.04,0.8,0.02,,4,10,100,8,19,0.2,0.1,4
D036400,218,水果,玫瑰桃,51,85.3,1.2,0.1,12.8,0.5,1.7,0.6,,43.3,,0,0.03,0.8,,,6,7,200,10,21,0.2,0.1,7
D037400,219,水果,桃子,47,87,1.2,0.7,10.3,0.8,2.4,0.8,,6.7,,0,0.04,0,0.01,,11,2,300,9,26,0.4,0.3,9
D038400,220,水果,棗子,46,87,1.2,0.2,11.1,0.5,1.8,0.5,,5,,0.02,0.02,3.3,0.02,,45,7,200,7,20,0.2,0.1,8
D039400,221,水果,櫻桃,71,80,0.9,0.4,18,0.3,1.5,0.7,,1.2,,0.01,0.05,0.2,0.03,,12,4,220,11,20,0.3,0.1,15
D040400,222,水果,人蔘果,83,77.5,0.6,0.8,20.5,1.9,9,0.6,,3.3,,0,0.01,0.3,0.03,,39,10,250,10,10,0.2,0.1,18
D041400,223,水果,山竹,71,80.3,0.5,0.3,18.7,0.6,1.5,0.2,,11.7,,0.02,0.06,0.74,,,4,6,60,23,14,0.2,0.2,12
D042400,224,水果,土芭樂,39,88.8,0.7,0.1,10,2.9,5,0.4,,15.5,,0.03,0.01,0.5,0.03,,80.7,5,150,6,15,0.1,0.2,4
D042501,225,水果,芭樂汁,41,88.7,0.2,0.1,11,0.2,0.1,0.1,,0,,0,0.01,0.08,0.01,,10.6,24,15,2,3,0.1,0,3
D043400,226,水果,木瓜,52,85,0.8,0.1,13.4,0.6,1.7,0.7,,40.7,,0.03,0.41,0.4,0,,74,4,220,12,10,0.2,0.2,18
D044400,227,水果,石榴,67,80.7,1.7,0.1,16.8,2.8,4.6,0.7,,1.3,,0.01,0.04,0.2,,,15,8,200,15,40,0.4,0.4,15
D045400,228,水果,百香果,66,84,2.2,2.4,10.7,6.2,5.3,0.7,,161.7,,0,0.1,0.9,,,32,2,200,27,50,0.7,0.7,5
D046400,229,水果,紅毛丹,77,79.7,1.2,1.2,17.4,0.5,1.1,0.5,,0.5,,0.01,0.01,0.4,0.05,,8,16,160,15,27,0.7,0.3,17
D047400,230,水果,枇杷,32,91,0.3,0.2,8.1,0.4,1.2,0.4,,131.7,,0.01,0.05,0.1,0.03,,2,15,150,9,9,0.1,0.2,11
D048400,231,水果,荔枝,59,83.5,1,0.3,14.8,0.3,1.3,0.5,,0,,0.01,0.06,0.4,0.03,,51,6,180,16,27,0.4,0.3,11
D048601,232,水果,冷凍荔枝,28,91.9,0.4,0.1,7.2,0.2,0.6,0.4,,0,,0,0.04,0.38,0.02,,39.9,9,130,12,27,0.2,0.2,4
D049400,233,水果,泰國芭樂,38,89,0.8,0.1,9.7,1.4,3,0.4,,15,,0.03,0.01,0.5,0.03,,81,5,150,6,15,0.1,0.2,4
D050400,234,水果,蓮霧,34,90.6,0.5,0.2,8.6,0.6,1,0.2,,0,,0.01,0.02,0.4,0.01,,17,7,70,8,10,0.1,0.1,4
D051400,235,水果,楊桃,35,90,0.8,0.2,8.6,0.4,1.1,0.4,,1.3,,0.03,0.02,0.4,0.01,,26,11,100,9,11,0.2,0.3,2
D052400,236,水果,榴槤,162,56.6,2.8,2,37.8,3,4.4,0.8,,3.3,,0.03,0.15,0.7,0.17,,66,5,420,27,35,0.3,0.4,4
D053400,237,水果,龍眼,73,80,1.3,0.9,16.9,0.4,1.1,0.9,,0,,0.01,0.12,0.5,0.08,,88,5,260,9,25,0.2,0.5,5
D054400,238,水果,釋迦,104,70,2.2,0.1,26.6,1,2.7,1.1,,0,,0.02,0.14,0.3,0.05,,99,7,390,29,46,0.3,0.2,18
D055400,239,水果,仙桃,97,72.5,1.2,0.2,25.4,0.6,4.8,0.7,,30,,0.01,0.02,1.6,0.07,,39,3,280,12,22,0.4,0.6,21
D056400,240,水果,芭蕉,123,65,1.3,0.2,32.4,0.4,3.3,0.9,,0.7,,0.01,0.04,0.3,0.23,,17,5,320,33,37,0.3,0.2,5
D057400,241,水果,奇異果,53,85,1.2,0.3,12.8,1.1,2.4,0.7,,16.7,,0,0.01,0.3,0.03,,87,6,290,13,35,0.3,0.1,26
D058400,242,水果,香蕉,91,74,1.3,0.2,23.7,0.4,1.6,0.8,,2.3,,0.03,0.02,0.4,0.29,,10,4,290,23,22,0.3,0.5,5
D059400,243,水果,柿子,68,81,0.5,0.2,18,0.8,4.7,0.3,,52.8,,0.01,0,0.2,0.05,,46,6,150,8,14,0.1,0.4,10
D060400,244,水果,草莓,39,89,1.1,0.2,9.2,0.8,1.8,0.5,,3.3,,0.01,0.06,1.5,0.03,,66,18,180,13,35,0.5,0.2,14
D061400,245,水果,紅龍果,50,85.8,1.1,0.2,12.5,1.2,1.7,0.5,,0,,0,0.03,0.1,,,7,16,190,31,27,0.3,0.7,4
